01:32:15 | Info | 'Server listening on port 8081' | 
01:32:16 | Info | 'Database Connection Succeeded' | 
01:32:18 | Info | 'Socket : wM6TOZZ4rZNtVYVvAAAA -> ON' | 
01:32:19 | Info | 'Socket : wM6TOZZ4rZNtVYVvAAAA -> OFF' | 
01:32:19 | Info | 'UPDATE | /tickets/5bb1ed066858ff37a8b1fc52 | {"_id":"5bb1ed066858ff37a8b1fc52","societe":"NPMA","nom":"PATRICIO P.","tel":"0632544002","mail":"npma@france.com","type":"Loc.","contrat":true,"store":false,"commentaire":"","date":"2018-10-01T09:46:46.000Z","etat":"EC"} => {"_id":"5bb1ed066858ff37a8b1fc52","societe":"NPMA","nom":"PATRICIO P.","tel":"0632544002","mail":"npma@france.com","type":"Loc.","contrat":true,"store":false,"commentaire":"","date":"2018-10-01T09:46:46.000Z","etat":"EC"}SUCCESS' | 
01:32:19 | Info | 'UPDATE | /tickets/5bb1ed066858ff37a8b1fc52 | {"_id":"5bb1ed066858ff37a8b1fc52","societe":"NPMA","nom":"PATRICIO P.","tel":"0632544002","mail":"npma@france.com","type":"Loc.","contrat":true,"store":false,"commentaire":"","date":"2018-10-01T09:46:46.000Z","etat":"Ferme"} => {"_id":"5bb1ed066858ff37a8b1fc52","societe":"NPMA","nom":"PATRICIO P.","tel":"0632544002","mail":"npma@france.com","type":"Loc.","contrat":true,"store":false,"commentaire":"","date":"2018-10-01T09:46:46.000Z","etat":"Ferme"}SUCCESS' | 
01:32:20 | Info | 'Socket : 71nfZWNpU_Uc9iuDAAAB -> ON' | 
01:32:20 | Info | 'GET | /tickets | SUCCESS' | 
01:32:28 | Info | 'UPDATE | /tickets/5bb1ed066858ff37a8b1fc52 | {"_id":"5bb1ed066858ff37a8b1fc52","societe":"NPMA","nom":"PATRICIO P.","tel":"0632544002","mail":"npma@france.com","type":"Loc.","contrat":true,"store":false,"commentaire":"","date":"2018-10-01T09:46:46.000Z","etat":"Nouveau"} => {"_id":"5bb1ed066858ff37a8b1fc52","societe":"NPMA","nom":"PATRICIO P.","tel":"0632544002","mail":"npma@france.com","type":"Loc.","contrat":true,"store":false,"commentaire":"","date":"2018-10-01T09:46:46.000Z","etat":"Nouveau"}SUCCESS' | 
01:32:28 | Info | 'UPDATE | /tickets/5bb1ed066858ff37a8b1fc52 | {"_id":"5bb1ed066858ff37a8b1fc52","societe":"NPMA","nom":"PATRICIO P.","tel":"0632544002","mail":"npma@france.com","type":"Loc.","contrat":true,"store":false,"commentaire":"","date":"2018-10-01T09:46:46.000Z","etat":"EC"} => {"_id":"5bb1ed066858ff37a8b1fc52","societe":"NPMA","nom":"PATRICIO P.","tel":"0632544002","mail":"npma@france.com","type":"Loc.","contrat":true,"store":false,"commentaire":"","date":"2018-10-01T09:46:46.000Z","etat":"EC"}SUCCESS' | 
01:32:29 | Info | 'UPDATE | /tickets/5bb1ed066858ff37a8b1fc52 | {"_id":"5bb1ed066858ff37a8b1fc52","societe":"NPMA","nom":"PATRICIO P.","tel":"0632544002","mail":"npma@france.com","type":"Loc.","contrat":true,"store":false,"commentaire":"","date":"2018-10-01T09:46:46.000Z","etat":"Ferme"} => {"_id":"5bb1ed066858ff37a8b1fc52","societe":"NPMA","nom":"PATRICIO P.","tel":"0632544002","mail":"npma@france.com","type":"Loc.","contrat":true,"store":false,"commentaire":"","date":"2018-10-01T09:46:46.000Z","etat":"Ferme"}SUCCESS' | 
01:33:00 | Info | 'GET | /tickets/all | SUCCESS' | 
01:34:17 | Info | 'GET | /tickets | SUCCESS' | 
01:34:19 | Info | 'GET | /tickets/all | SUCCESS' | 
01:35:04 | Info | 'GET | /tickets | SUCCESS' | 
01:35:10 | Info | 'GET | /tickets/all | SUCCESS' | 
01:35:11 | Info | 'GET | /tickets | SUCCESS' | 
01:35:14 | Info | 'GET | /tickets/all | SUCCESS' | 
01:35:41 | Info | 'GET | /tickets | SUCCESS' | 
01:35:42 | Info | 'GET | /tickets/all | SUCCESS' | 
01:36:30 | Info | 'GET | /tickets | SUCCESS' | 
01:36:37 | Info | 'UPDATE | /tickets/5ba8f8eb671c202a1405c696 | {"_id":"5ba8f8eb671c202a1405c696","societe":"LAVUALA","nom":"DEMOTE JP.","tel":"0684532147","mail":"delamote@gmail.com","contrat":false,"date":"2018-09-24T14:47:07.000Z","commentaire":"","store":true,"type":"Achat","etat":"Ferme"} => {"_id":"5ba8f8eb671c202a1405c696","societe":"LAVUALA","nom":"DEMOTE JP.","tel":"0684532147","mail":"delamote@gmail.com","contrat":false,"date":"2018-09-24T14:47:07.000Z","commentaire":"","store":true,"type":"Achat","etat":"Ferme"}SUCCESS' | 
01:36:37 | Info | 'UPDATE | /tickets/5ba8f8eb671c202a1405c696 | {"_id":"5ba8f8eb671c202a1405c696","societe":"LAVUALA","nom":"DEMOTE JP.","tel":"0684532147","mail":"delamote@gmail.com","contrat":false,"date":"2018-09-24T14:47:07.000Z","commentaire":"","store":true,"type":"Achat","etat":"Nouveau"} => {"_id":"5ba8f8eb671c202a1405c696","societe":"LAVUALA","nom":"DEMOTE JP.","tel":"0684532147","mail":"delamote@gmail.com","contrat":false,"date":"2018-09-24T14:47:07.000Z","commentaire":"","store":true,"type":"Achat","etat":"Nouveau"}SUCCESS' | 
